id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,descuento,sucursal,canal,medio_pago
V000033,19/07/2025,,P0129,1,5230,0.05,Ecommerce,Online,Débito
V000034,27/03/2026,,P0008,1,47260,0,Ecommerce,Online,Débito
V000034,27/03/2026,,P0062,1,28920,0,Ecommerce,Online,Débito
V000034,27/03/2026,,P0053,2,18130,0.05,Ecommerce,Online,Mercado Pago
V000034,27/03/2026,,P0007,1,18530,0,Ecommerce,Online,Crédito
V000035,15/02/2026,C0545,P0005,1,21070,0,City Bell,Local,Transferencia
V000035,15/02/2026,C0545,P0100,4,6390,0,City Bell,Local,Débito
V000035,15/02/2026,C0545,P0013,1,56530,0,City Bell,Local,Crédito
V000035,15/02/2026,C0545,P0060,1,59870,0,City Bell,Local,Crédito
V000036,20/04/2026,C1389,P0072,1,6480,0.05,City Bell,Local,QR
V000036,20/04/2026,C1389,P0075,1,42040,0,City Bell,Local,QR
V000036,20/04/2026,C1389,P0167,1,58220,0,City Bell,Local,Débito
V000036,20/04/2026,C1389,P0011,1,32980,0,City Bell,Local,QR
V000037,19/09/2025,C1607,P0051,2,23970,0.05,Los Hornos,Local,Efectivo
V000037,19/09/2025,C1607,P0049,1,63180,0,Los Hornos,Local,Efectivo
V000037,19/09/2025,C1607,P0009,2,9610,0.05,Los Hornos,Local,QR
V000037,19/09/2025,C1607,P0023,2,56390,0.1,Los Hornos,Local,Efectivo
V000038,01/03/2025,C0116,P0002,2,7720,0,Ecommerce,Online,Transferencia
V000038,01/03/2025,C0116,P0034,1,52290,0.05,Ecommerce,Online,Transferencia
V000038,01/03/2025,C0116,P0158,1,73330,0,Ecommerce,Online,Crédito
V000038,01/03/2025,C0116,P0105,1,3210,0.1,Ecommerce,Online,Transferencia
V000039,12/05/2026,C1026,P0001,3,23680,0,City Bell,Local,Efectivo
V000039,12/05/2026,C1026,P0010,1,4310,0,City Bell,Local,QR
V000040,28/01/2025,C1614,P0131,1,13570,0,Centro,Local,Débito
V000040,28/01/2025,C1614,P0026,1,12570,0,Centro,Local,Crédito
V000040,28/01/2025,C1614,P0001,1,25530,0.1,Centro,Local,Efectivo
V000041,14/10/2025,C1054,P0046,1,40330,0,City Bell,Local,Efectivo
V000041,14/10/2025,C1054,P0195,1,27730,0,City Bell,Local,Efectivo
V000041,14/10/2025,C1054,P0066,1,65410,0.15,City Bell,Local,QR
V000041,14/10/2025,C1054,P0025,1,33590,0,City Bell,Local,QR
V000042,18/05/2025,,P0044,2,17840,0,Ecommerce,Online,Transferencia
V000042,18/05/2025,,P0023,1,53980,0,Ecommerce,Online,Transferencia
V000042,18/05/2025,,P0197,1,7350,0.1,Ecommerce,Online,Débito
V000042,18/05/2025,,P0149,1,64830,0,Ecommerce,Online,Mercado Pago
V000043,14/02/2026,C9113,P0093,1,12210,0,Los Hornos,Local,Transferencia
V000043,14/02/2026,C1106,P0001,1,24780,0,Los Hornos,Local,Crédito
V000043,14/02/2026,C1106,P0088,3,10770,0,Los Hornos,Local,Efectivo
V000043,14/02/2026,C1106,P0016,1,71360,0.05,Los Hornos,Local,Transferencia
V000044,08/05/2026,C1133,P0071,3,8490,0,City Bell,Local,QR
V000044,08/05/2026,C1133,P0146,3,34510,0,City Bell,Local,Transferencia
V000044,08/05/2026,C1133,P0118,1,11450,0.1,City Bell,Local,Transferencia
V000045,18/07/2025,C1639,P0197,1,7570,0,Centro,Local,Transferencia
V000046,24/09/2025,C1277,P0034,1,51770,0,Centro,Local,Efectivo
V000047,24/03/2026,C0265,P0001,2,23560,0.05,Centro,Local,QR
V000047,24/03/2026,C0265,P0059,1,43910,0,Centro,Local,Efectivo
V000048,06/08/2026,C1232,P0043,1,39880,0.2,Centro,Local,QR
V000048,06/08/2026,C1232,P0060,1,56400,0,Centro,Local,Transferencia
V000049,12/06/2025,C0715,P0135,1,4730,0.1,Centro,Local,Efectivo
V000050,30/07/2025,C1389,P0001,2,23840,0,Los Hornos,Local,Transferencia
V000050,30/07/2025,C1389,P0149,1,67550,0,Los Hornos,Local,Débito
V000050,30/07/2025,C1389,P0056,3,61780,0,Los Hornos,Local,Débito
V000050,30/07/2025,C1389,P0006,1,51660,0,Los Hornos,Local,Débito
V000051,11/11/2025,C1318,P0001,2,23290,0,Ecommerce,Online,Mercado Pago
V000052,06/01/2025,C1164,P0070,1,64520,0,Ecommerce,Online,Crédito
V000053,01/01/2025,,P0073,2,57320,0.15,Centro,Local,Transferencia
V000053,01/01/2025,,P0041,1,45630,0.1,Centro,Local,Crédito
V000054,26/02/2025,C1477,P0169,2,58490,0.15,Ecommerce,Online,Mercado Pago
V000054,26/02/2025,C1477,P0087,1,4220,0,Ecommerce,Online,Transferencia
V000054,26/02/2025,C1477,P0074,1,28950,0,Ecommerce,Online,Débito
V000054,26/02/2025,C1477,P0028,1,33180,0,Ecommerce,Online,Transferencia
V000055,14/07/2026,C1308,P0146,1,35530,0.05,Centro,Local,Efectivo
V000055,14/07/2026,C1308,P0003,1,24320,0,Centro,Local,Crédito
V000056,04/09/2025,,P0045,1,62150,0,Centro,Local,Efectivo
V000057,11/12/2025,C0319,P0022,2,6210,0.2,City Bell,Local,QR
V000057,11/12/2025,C0319,P0139,1,32470,0,City Bell,Local,Crédito
V000057,11/12/2025,C0319,P0122,1,11870,0.05,City Bell,Local,Débito
V000057,11/12/2025,C0319,P0030,2,22110,0.05,City Bell,Local,Transferencia
V000058,17/04/2025,C1138,P0045,2,57070,0,Los Hornos,Local,QR
V000058,17/04/2025,C1138,P0035,1,8360,0.1,Los Hornos,Local,QR
V000059,07/05/2026,C0864,P0002,1,7660,0,Centro,Local,Transferencia
V000059,07/05/2026,C0864,P0043,1,40960,0.1,Centro,Local,Crédito
V000060,11/11/2025,C1664,P0010,1,4840,0.15,City Bell,Local,Débito
V000060,11/11/2025,C1664,P0089,1,5840,0.15,City Bell,Local,Transferencia
V000061,29/04/2025,,P0001,2,22560,0,Centro,Local,Débito
V000061,29/04/2025,,P0033,1,47650,0.15,Centro,Local,Crédito
V000061,29/04/2025,,P0045,2,60640,0.1,Centro,Local,Crédito
V000062,15/07/2026,C0076,P0036,1,46480,0.1,Los Hornos,Local,Débito
V000062,15/07/2026,C0076,P0182,1,37520,0.1,Los Hornos,Local,Transferencia
V000063,01/01/2026,,P0001,2,23730,0,Ecommerce,Online,Mercado Pago
V000064,09/04/2026,C1287,P0004,1,28040,0,Centro,Local,QR
V000064,09/04/2026,C1287,P0098,1,6420,0.05,Centro,Local,Débito
V000064,09/04/2026,C1287,P0141,1,61060,0.2,Centro,Local,Débito
V000064,09/04/2026,C1287,P0117,3,9360,0,Centro,Local,Débito
V000065,24/06/2026,C0417,P0022,1,6810,0,Los Hornos,Local,Débito
V000065,24/06/2026,C0417,P0071,1,8500,0,Los Hornos,Local,Transferencia
V000065,24/06/2026,C0417,P0113,1,13710,0,Los Hornos,Local,QR
V000066,26/04/2025,C0906,P0048,1,50430,0,Los Hornos,Local,Débito
V000066,26/04/2025,C0906,P0155,1,36510,0,Los Hornos,Local,Transferencia
V000066,26/04/2025,C0906,P0001,1,22840,0,Los Hornos,Local,Transferencia
V000066,26/04/2025,C0906,P0192,1,25970,0,Los Hornos,Local,Efectivo
V000067,21/04/2026,C0121,P0196,1,24060,0,Centro,Local,QR
V000067,21/04/2026,C0121,P0015,1,37000,0,Centro,Local,Débito
V000067,21/04/2026,C0121,P0058,4,16410,0.1,Centro,Local,Crédito
V000068,12/06/2026,C1980,P0005,1,21220,0,Centro,Local,Débito
V000068,12/06/2026,C1980,P0114,1,8100,0,Centro,Local,Efectivo
V000068,12/06/2026,C1980,P0028,1,30230,0,Centro,Local,QR
V000069,27/03/2026,,P0008,1,47580,0,Ecommerce,Online,Mercado Pago
V000070,08/07/2025,C1329,P0007,2,18710,0.1,Centro,Local,QR
V000071,15/10/2025,C1138,P0158,2,68360,0.1,Ecommerce,Online,Transferencia
V000071,15/10/2025,C1138,P0010,1,4800,0,Ecommerce,Online,Crédito
V000071,15/10/2025,C1138,P0101,1,5440,0,Ecommerce,Online,Mercado Pago
V000072,03/08/2026,C0862,P0175,1,49080,0,Centro,Local,Débito
V000072,03/08/2026,C0862,P0017,1,32200,0.1,Centro,Local,Crédito
V000072,03/08/2026,C0862,P0062,1,29430,0,Centro,Local,Transferencia
V000072,03/08/2026,C0862,P0026,1,13830,0.1,Centro,Local,QR
V000073,09/01/2026,C0767,P0091,2,8890,0,Centro,Local,Débito
V000073,09/01/2026,C0767,P0169,1,56150,0,Centro,Local,Efectivo
V000073,09/01/2026,C0767,P0005,4,23020,0,Centro,Local,Transferencia
V000073,09/01/2026,C0767,P0087,1,4780,0,Centro,Local,Débito
V000074,20/06/2026,C1920,P0002,1,6890,0.2,City Bell,Local,Efectivo
V000074,20/06/2026,C1920,P0056,1,68070,0,City Bell,Local,Débito
V000074,20/06/2026,C1920,P0092,3,3250,0,City Bell,Local,Débito
V000075,03/01/2025,C1547,P0070,1,56260,0,Ecommerce,Online,Débito
V000075,03/01/2025,C1547,P0010,1,4530,0.05,Ecommerce,Online,Transferencia
V000075,03/01/2025,C1547,P0003,1,25940,0,Ecommerce,Online,Mercado Pago
V000075,03/01/2025,C1547,P0182,1,35040,0,Ecommerce,Online,Débito
V000076,24/07/2025,C1645,P0063,1,14160,0,Los Hornos,Local,Efectivo
V000076,24/07/2025,C1645,P0014,1,44160,0.15,Los Hornos,Local,Débito
V000077,03/12/2025,C1733,P0160,1,47830,0.05,Ecommerce,Online,Débito
V000077,03/12/2025,C1733,P0005,1,22770,0,Ecommerce,Online,Débito
V000077,03/12/2025,C1733,P0129,1,5440,0,Ecommerce,Online,Mercado Pago
V000077,03/12/2025,C1733,P0118,1,11130,0.1,Ecommerce,Online,Transferencia
V000078,08/07/2026,C0322,P0029,1,40130,0,Centro,Local,Débito
V000078,08/07/2026,C0322,P0010,1,4490,0,Centro,Local,Débito
V000079,22/04/2026,,P0078,2,52600,0,City Bell,Local,Transferencia
V000079,22/04/2026,,P0157,2,34310,0,City Bell,Local,Efectivo
V000079,22/04/2026,,P0190,1,15640,0.1,City Bell,Local,QR
V000080,05/08/2025,C0358,P0022,1,6540,0.05,Ecommerce,Online,Débito
V000081,25/06/2026,C1850,P0075,1,41750,0.05,Ecommerce,Online,Débito
V000081,25/06/2026,C1850,P0034,2,46140,0,Ecommerce,Online,Crédito
V000082,07/03/2025,C1284,P0024,1,19430,0.05,Los Hornos,Local,Débito
V000082,07/03/2025,C1284,P9999,2,36960,0.05,Los Hornos,Local,Efectivo
V000082,07/03/2025,C1284,P0014,4,47480,0.05,Los Hornos,Local,Débito
V000082,07/03/2025,C1284,P0037,1,52940,0,Los Hornos,Local,Efectivo
V000083,18/05/2025,C0766,P0014,2,44590,0.05,Centro,Local,Efectivo
V000083,18/05/2025,C0766,P0164,1,17440,0.1,Centro,Local,QR
V000083,18/05/2025,C0766,P0001,1,23720,0,Centro,Local,Crédito
V000083,18/05/2025,C0766,P0008,2,45750,0.1,Centro,Local,Crédito
V000084,29/08/2026,C1672,P0076,1,51560,0.05,Los Hornos,Local,Efectivo
V000084,29/08/2026,C1672,P0021,1,49300,0.05,Los Hornos,Local,Débito
V000085,12/07/2026,C0958,P0045,1,56590,0.2,Centro,Local,Efectivo
V000085,12/07/2026,C0958,P0004,1,28040,0,Centro,Local,QR
V000085,12/07/2026,C0958,P0109,1,18310,0.05,Centro,Local,Crédito
V000085,12/07/2026,C0958,P0137,1,47690,0,Centro,Local,Débito
V000086,29/01/2025,C1097,P0008,4,46370,0,City Bell,Local,Efectivo
V000086,29/01/2025,C1097,P0107,1,9280,0,City Bell,Local,Transferencia
V000086,29/01/2025,C1097,P0040,2,19930,0.05,City Bell,Local,Crédito
V000086,29/01/2025,C1097,P0018,1,13050,0.15,City Bell,Local,Crédito
V000087,06/07/2025,C1591,P0118,1,10830,0,Centro,Local,Transferencia
V000087,06/07/2025,C1591,P0178,1,37670,0,Centro,Local,Efectivo
V000087,06/07/2025,C1591,P0056,1,65270,0,Centro,Local,Transferencia
V000088,01/06/2025,C0906,P0032,2,30080,0,Centro,Local,Transferencia
V000088,01/06/2025,C0906,P0004,2,24730,0.1,Centro,Local,Efectivo
V000089,20/03/2026,C0237,P0053,1,18390,0,Centro,Local,QR
V000089,20/03/2026,C0237,P0054,2,21680,0,Centro,Local,Débito
V000089,20/03/2026,C0237,P0130,4,9700,0,Centro,Local,Efectivo
V000090,13/07/2025,,P0104,1,6020,0,City Bell,Local,Crédito
V000091,02/10/2025,C0094,P0081,1,9440,0.2,Ecommerce,Online,Transferencia
V000091,02/10/2025,C0094,P0016,4,64680,0.05,Ecommerce,Online,Transferencia
V000092,22/01/2026,C0071,P0031,1,34450,0.15,Centro,Local,QR
V000092,22/01/2026,C0071,P0001,1,24110,0.1,Centro,Local,Crédito
V000092,22/01/2026,C0071,P0187,3,21620,0,Centro,Local,Débito
V000093,29/09/2025,,P0003,2,25010,0.05,Centro,Local,Transferencia
V000093,29/09/2025,,P0088,1,11250,0,Centro,Local,Efectivo
V000094,28/05/2026,C0904,P0130,1,10160,0,Los Hornos,Local,Crédito
V000094,28/05/2026,C0904,P0016,1,64910,0.15,Los Hornos,Local,Crédito
V000094,28/05/2026,C0904,P0022,2,6070,0,Los Hornos,Local,QR
V000094,28/05/2026,C0904,P0131,1,13020,0.1,Los Hornos,Local,Transferencia
V000095,02/03/2025,C0843,P0090,1,9880,0,Los Hornos,Local,QR
V000096,29/05/2026,C0396,P0045,1,60380,0,Los Hornos,Local,Débito
V000096,29/05/2026,C0396,P0064,2,33520,0.1,Los Hornos,Local,Débito
V000097,26/08/2025,,P0059,1,44080,0,Ecommerce,Online,Mercado Pago
V000098,17/05/2025,C1664,P0090,2,9480,0,Centro,Local,QR
V000099,05/11/2025,,P0019,1,12520,0,City Bell,Local,QR
V000100,08/03/2025,C0551,P0138,1,5000,0,City Bell,Local,QR
V000100,08/03/2025,C0551,P0157,1,34400,0,City Bell,Local,Débito
V000100,08/03/2025,C0551,P0141,1,63690,0.1,City Bell,Local,Efectivo
V000100,08/03/2025,C0551,P0136,1,68860,0.1,City Bell,Local,Crédito
V000101,14/07/2025,C1352,P0041,3,50720,0,Centro,Local,Crédito
V000101,14/07/2025,C1352,P0103,1,2790,0.15,Centro,Local,Transferencia
V000101,14/07/2025,C1352,P0116,1,3600,0,Centro,Local,Crédito
V000101,14/07/2025,C1352,P0051,1,25240,0.05,Centro,Local,Efectivo
V000102,07/02/2026,C0264,P0063,1,14100,0,Ecommerce,Online,Mercado Pago
V000102,07/02/2026,C0264,P0001,1,23730,0.2,Ecommerce,Online,Mercado Pago
V000103,09/07/2026,C1163,P0008,1,44070,0.15,City Bell,Local,QR
V000103,09/07/2026,C1163,P0120,1,13500,0,City Bell,Local,QR
V000104,17/08/2025,C0898,P0150,1,32950,0,Centro,Local,QR
V000104,17/08/2025,C0898,P0172,2,19320,0.15,Centro,Local,Efectivo
V000105,07/03/2026,C1675,P0046,1,38980,0,Centro,Local,Transferencia
V000106,27/02/2026,C1032,P0146,1,37180,0.1,Centro,Local,QR
V000106,27/02/2026,C1032,P0151,2,84230,0.1,Centro,Local,Efectivo
V000106,27/02/2026,C1032,P0147,1,53590,0,Centro,Local,Crédito
V000106,27/02/2026,C1032,P0039,2,67100,0.1,Centro,Local,Efectivo
V000107,15/07/2025,,P0175,1,51630,0.05,Ecommerce,Online,Transferencia
V000107,15/07/2025,,P0198,1,9690,0,Ecommerce,Online,Mercado Pago
V000108,03/08/2025,,P0074,1,30640,0,Ecommerce,Online,Crédito
V000108,03/08/2025,,P0001,1,22540,0.05,Ecommerce,Online,Débito
V000108,03/08/2025,,P0197,2,7450,0,Ecommerce,Online,Transferencia
V000108,03/08/2025,,P0064,2,33540,0,Ecommerce,Online,Mercado Pago
V000109,26/02/2026,,P0001,1,25480,0,Los Hornos,Local,Débito
V000109,26/02/2026,,P0151,1,82360,0,Los Hornos,Local,Efectivo
V000109,26/02/2026,,P0158,2,72200,0.1,Los Hornos,Local,Efectivo
V000109,26/02/2026,,P0023,1,54030,0.05,Los Hornos,Local,Efectivo
V000110,01/01/2025,C1034,P0077,2,59940,0.05,Centro,Local,Débito
V000110,01/01/2025,C1034,P0067,1,63710,0.1,Centro,Local,Débito
V000110,01/01/2025,C1034,P0162,1,36800,0,Centro,Local,Efectivo
V000110,01/01/2025,C1034,P0144,2,37340,0.15,Centro,Local,Efectivo
V000111,17/02/2025,,P0029,1,41300,0,City Bell,Local,Efectivo
V000111,17/02/2025,,P0085,1,3530,0,City Bell,Local,QR
V000111,17/02/2025,,P0069,2,66680,0,City Bell,Local,Transferencia
V000111,17/02/2025,,P0058,1,15410,0,City Bell,Local,Crédito
V000112,30/11/2025,C1121,P0006,2,51340,0,Ecommerce,Online,Crédito
V000112,30/11/2025,C1121,P0145,2,54840,0.05,Ecommerce,Online,Transferencia
V000112,30/11/2025,C1121,P0070,2,62560,0,Ecommerce,Online,Crédito
V000112,30/11/2025,C1121,P0029,1,39630,0,Ecommerce,Online,Transferencia
V000113,17/01/2025,C1658,P0174,1,75650,0,City Bell,Local,Crédito
V000113,17/01/2025,C1658,P0020,2,47480,0,City Bell,Local,Crédito
V000114,03/12/2025,,P0168,1,3120,0,Los Hornos,Local,Transferencia
V000114,03/12/2025,,P0104,1,6460,0,Los Hornos,Local,QR
V000114,03/12/2025,,P0105,2,3500,0,Los Hornos,Local,Efectivo
V000115,08/06/2025,C0306,P0121,1,16310,0,Los Hornos,Local,Crédito
V000115,08/06/2025,C0306,P0136,2,73950,0,Los Hornos,Local,Crédito
V000115,08/06/2025,C0306,P0001,1,24990,0.05,Los Hornos,Local,Débito
V000115,08/06/2025,C0306,P0067,1,59100,0,Los Hornos,Local,Transferencia
V000116,25/02/2025,,P0031,1,32390,0,Ecommerce,Online,Débito
V000117,04/04/2025,C1929,P0013,2,59050,0,City Bell,Local,QR
V000117,2025-04-04,C1929,P0001,2,23640,0,City Bell,Local,Efectivo
V000117,04/04/2025,C1929,P0172,1,19980,0,City Bell,Local,Crédito
V000117,04/04/2025,C1929,P0071,1,8350,0.05,City Bell,Local,QR
V000118,20/01/2025,C0181,P0122,1,11090,0,Ecommerce,Online,Crédito
V000118,20/01/2025,C0181,P0036,1,47710,0.05,Ecommerce,Online,Mercado Pago
V000118,20/01/2025,C0181,P0011,1,33800,0,Ecommerce,Online,Transferencia
V000118,20/01/2025,C0181,P0111,1,3880,0,Ecommerce,Online,Mercado Pago
V000119,11/06/2026,C1140,P0054,1,22110,0,Los Hornos,Local,Crédito
V000119,11/06/2026,C1140,P0128,1,14000,0,Los Hornos,Local,Efectivo
V000119,11/06/2026,C1140,P0115,2,16190,0,Los Hornos,Local,QR
V000119,11/06/2026,C1140,P0001,1,22710,0,Los Hornos,Local,QR
V000120,15/09/2025,C1328,P0162,1,35360,0.05,Centro,Local,Transferencia
V000121,18/08/2025,C1051,P0112,1,14550,0,City Bell,Local,QR
V000121,18/08/2025,C1051,P0021,1,47310,0,City Bell,Local,QR
V000121,18/08/2025,C1051,P0058,2,17110,0.1,City Bell,Local,Débito
V000121,18/08/2025,C1051,P0020,1,46200,0,City Bell,Local,Crédito
V000122,19/05/2026,C0899,P0150,1,33970,0.05,City Bell,Local,Crédito
V000122,19/05/2026,C0899,P0044,2,19430,0,City Bell,Local,QR
V000122,19/05/2026,C0899,P0012,1,21610,0,City Bell,Local,Transferencia
V000122,19/05/2026,C0899,P0075,1,40660,0.15,City Bell,Local,QR
V000123,06/05/2025,C1193,P0010,3,4790,0.05,Centro,Local,QR
V000123,06/05/2025,C1193,P0133,2,3840,0,Centro,Local,Crédito
V000123,06/05/2025,C1193,P0009,2,8720,0.1,Centro,Local,Débito
V000124,27/11/2025,C1758,P0004,1,27430,0,Centro,Local,Efectivo
V000124,27/11/2025,C1758,P0052,2,4250,0,Centro,Local,QR
V000125,10/07/2025,C1771,P0006,2,49150,0,City Bell,Local,QR
V000125,10/07/2025,C1771,P0046,1,38750,0.1,City Bell,Local,Débito
V000125,10/07/2025,C1771,P0059,1,47570,0.1,City Bell,Local,Crédito
V000125,10/07/2025,C1771,P0130,1,11000,0,City Bell,Local,QR
V000126,31/08/2025,C0721,P0062,1,29080,0,Los Hornos,Local,Débito
V000126,31/08/2025,C0721,P0084,1,5220,0,Los Hornos,Local,Débito
V000126,31/08/2025,C0721,P0104,1,6050,0,Los Hornos,Local,QR
V000127,14/10/2025,C0988,P0199,2,20420,0,Centro,Local,Crédito
V000128,12/06/2025,,P0133,1,3540,0,City Bell,Local,QR
V000128,12/06/2025,,P0078,1,53420,0,City Bell,Local,QR
V000128,12/06/2025,,P0002,1,7350,0,City Bell,Local,QR
V000128,12/06/2025,,P0114,1,8080,0,City Bell,Local,Crédito
V000129,09/07/2026,C1640,P0064,1,34580,0.05,Centro,Local,Débito
V000130,05/02/2025,C1377,P0015,2,41450,0,Ecommerce,Online,Crédito
V000130,05/02/2025,C1377,P0021,2,48890,0.1,Ecommerce,Online,Débito
V000131,01/07/2025,C1881,P0102,2,4910,0,Los Hornos,Local,Efectivo
V000132,16/10/2025,C0719,P0108,3,3470,0.1,Los Hornos,Local,QR
V000132,16/10/2025,C0719,P0001,1,25540,0,Los Hornos,Local,Transferencia
